""	"feature"	"metadata"	"value"	"coef"	"stderr"	"pval"	"qval"	"base.model"	"tweedie.index"	"N"	"N.not.zero"	"percent.zero"
"(R)-3-hydroxybutyrylcarnitine"	"(R)-3-hydroxybutyrylcarnitine"	"Group"	"RYGB"	0.777330900290398	0.264069114907	0.012288022481812	0.133534060486099	"CPLM"	1.01	15	15	0
"1-linolenoyl-GPC (18:3)*"	"1-linolenoyl-GPC (18:3)*"	"Group"	"RYGB"	-0.689931131485654	0.235397891961295	0.0125825812512368	0.133534060486099	"CPLM"	1.01	15	15	0
"1-linoleoyl-GPG (18:2)*"	"1-linoleoyl-GPG (18:2)*"	"Group"	"RYGB"	-0.566807769601144	0.192272310245859	0.012190731913202	0.133534060486099	"CPLM"	1.99	15	15	0
"sphingomyelin (d18:1/20:1, d18:2/20:0)*"	"sphingomyelin (d18:1/20:1, d18:2/20:0)*"	"Group"	"RYGB"	-0.439271998115745	0.14968528408902	0.0124958611507521	0.133534060486099	"CPLM"	1.875	15	15	0
"alanine"	"alanine"	"Group"	"RYGB"	-0.434952062798063	0.150592900707733	0.013619967134522	0.138771382382238	"CPLM"	1.99	15	15	0
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)"	"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)"	"Group"	"RYGB"	-0.512301613212618	0.176481852640973	0.0132557814360914	0.138771382382238	"CPLM"	1.99	15	15	0
"3-methyl-2-oxobutyrate"	"3-methyl-2-oxobutyrate"	"Group"	"RYGB"	-0.607991333188829	0.217260745450859	0.0160907088003353	0.150435356879325	"CPLM"	1.505	15	15	0
"arabitol/xylitol"	"arabitol/xylitol"	"Group"	"RYGB"	-0.576296110897615	0.208207418148135	0.0170282276861697	0.152032739126035	"CPLM"	1.01	15	15	0
"linoleoylcarnitine (C18:2)*"	"linoleoylcarnitine (C18:2)*"	"Group"	"RYGB"	0.396791697869316	0.144207188720663	0.0175521668260957	0.152032739126035	"CPLM"	1.99	15	15	0
"linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*"	"linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*"	"Group"	"RYGB"	0.573083623585493	0.207909302992501	0.0173944287323714	0.152032739126035	"CPLM"	1.99	15	15	0
"linoleoyl-linolenoyl-glycerol (18:2/18:3) [1]*"	"linoleoyl-linolenoyl-glycerol (18:2/18:3) [1]*"	"Group"	"RYGB"	0.916270484015137	0.328762316448599	0.0164347931273651	0.152032739126035	"CPLM"	1.807	15	15	0
"ribulonate/xylulonate/lyxonate*"	"ribulonate/xylulonate/lyxonate*"	"Group"	"RYGB"	-0.292201397493847	0.107150543410636	0.0183676417874088	0.153469121763117	"CPLM"	1.99	15	15	0
"retinol (Vitamin A)"	"retinol (Vitamin A)"	"Group"	"RYGB"	-0.672148273670268	0.245856473227689	0.0181348888548351	0.153469121763117	"CPLM"	1.016	15	15	0
"S-1-pyrroline-5-carboxylate"	"S-1-pyrroline-5-carboxylate"	"Group"	"RYGB"	-1.16361859415317	0.42732778181028	0.0185043519869455	0.153507934088886	"CPLM"	1.879	15	15	0
"fructosyllysine"	"fructosyllysine"	"Group"	"RYGB"	-0.577105774098941	0.212917602423596	0.0189390778243947	0.156015620119839	"CPLM"	1.01	15	15	0
"myristoylcarnitine (C14)"	"myristoylcarnitine (C14)"	"Group"	"RYGB"	0.452254154195862	0.171604406595668	0.0217558837028307	0.172002892630433	"CPLM"	1.99	15	15	0
"1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*"	"1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*"	"Group"	"RYGB"	-0.604132637686058	0.231852394783948	0.022984066808559	0.178126517766333	"CPLM"	1.747	15	15	0
"proline"	"proline"	"Group"	"RYGB"	-0.305017509130677	0.117820510046764	0.0237088726607931	0.179976059357973	"CPLM"	1.01	15	15	0
"N2,N2-dimethylguanosine"	"N2,N2-dimethylguanosine"	"Group"	"RYGB"	-0.707407846147056	0.2735551955451	0.0238338414769473	0.179976059357973	"CPLM"	1.015	15	15	0
"4-acetamidobutanoate"	"4-acetamidobutanoate"	"Group"	"RYGB"	0.814071642300469	0.320206946666172	0.0258274336048208	0.185516565771213	"CPLM"	1.99	15	15	0
"ceramide (d18:2/24:1, d18:1/24:2)*"	"ceramide (d18:2/24:1, d18:1/24:2)*"	"Group"	"RYGB"	0.700330472555409	0.273679258798368	0.0250500458067894	0.185516565771213	"CPLM"	1.515	15	15	0
"N-acetyltaurine"	"N-acetyltaurine"	"Group"	"RYGB"	-0.315631515063589	0.12432001983244	0.0259925540194001	0.185571082635475	"CPLM"	1.99	15	15	0
"trans-urocanate"	"trans-urocanate"	"Group"	"RYGB"	-0.834665787936044	0.331126652500808	0.0268753977311952	0.187332654007976	"CPLM"	1.99	15	15	0
"palmitoylcarnitine (C16)"	"palmitoylcarnitine (C16)"	"Group"	"RYGB"	0.367422207809241	0.145722526343323	0.0268409694867547	0.187332654007976	"CPLM"	1.99	15	15	0
"isovalerylglycine"	"isovalerylglycine"	"Group"	"RYGB"	-0.407495376901872	0.161870345635241	0.0270370735578848	0.187351015595225	"CPLM"	1.99	15	15	0
"tricarballylate"	"tricarballylate"	"Group"	"RYGB"	0.742473066224122	0.301375116788955	0.0298401984959266	0.19211514941385	"CPLM"	1.99	15	15	0
"palmitoleate (16:1n7)"	"palmitoleate (16:1n7)"	"Group"	"RYGB"	0.647913011936933	0.263166432019444	0.0299292731410973	0.19211514941385	"CPLM"	1.99	15	15	0
"trimethylamine N-oxide"	"trimethylamine N-oxide"	"Group"	"RYGB"	1.25013742517214	0.504653263730345	0.0291059443974387	0.19211514941385	"CPLM"	1.99	15	15	0
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*"	"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*"	"Group"	"RYGB"	-0.360767487945657	0.145178999491198	0.028694768121867	0.19211514941385	"CPLM"	1.99	15	15	0
"glycodeoxycholate"	"glycodeoxycholate"	"Group"	"RYGB"	1.61116467743129	0.64729367856124	0.0284801920415963	0.19211514941385	"CPLM"	1.99	15	15	0
"1-methyl-4-imidazoleacetate"	"1-methyl-4-imidazoleacetate"	"Group"	"RYGB"	1.32224761157441	0.541532371687594	0.0310623936472215	0.193605818605434	"CPLM"	1.99	15	15	0
"hexadecadienoate (16:2n6)"	"hexadecadienoate (16:2n6)"	"Group"	"RYGB"	0.572733569437411	0.234491277255475	0.0310184865343095	0.193605818605434	"CPLM"	1.99	15	15	0
"palmitoleoylcarnitine (C16:1)*"	"palmitoleoylcarnitine (C16:1)*"	"Group"	"RYGB"	0.443827297916419	0.181435694993328	0.0308068016756027	0.193605818605434	"CPLM"	1.99	15	15	0
"succinate"	"succinate"	"Group"	"RYGB"	-0.557712401850694	0.229228241947182	0.0315590259252563	0.194641531622785	"CPLM"	1.99	15	15	0
"corticosterone"	"corticosterone"	"Group"	"RYGB"	-0.555119436626823	0.23061005459261	0.0330826715137368	0.199853266888113	"CPLM"	1.01	15	15	0
"N-acetylcarnosine"	"N-acetylcarnosine"	"Group"	"RYGB"	-0.527407683349269	0.220461167770778	0.0339929309003805	0.203267373607351	"CPLM"	1.99	15	15	0
"N-acetylmethionine"	"N-acetylmethionine"	"Group"	"RYGB"	-0.601188850154509	0.252770281658636	0.034864235721624	0.204798051309725	"CPLM"	1.99	15	15	0
