""	"feature"	"metadata"	"value"	"coef"	"stderr"	"pval"	"qval"	"base.model"	"tweedie.index"	"N"	"N.not.zero"	"percent.zero"
"indolelactate"	"indolelactate"	"Group"	"RYGB"	0.499419420153953	0.291019154376174	0.111821176723752	0.355054841457088	"CPLM"	1.99	15	15	0
"alpha-CEHC sulfate"	"alpha-CEHC sulfate"	"Group"	"RYGB"	-0.546819816698014	0.319782228661836	0.112976639070537	0.357232099896827	"CPLM"	1.99	15	15	0
"indolepropionate"	"indolepropionate"	"Group"	"RYGB"	1.59353272307531	0.934983906965479	0.114047917186524	0.35860293866812	"CPLM"	1.99	15	15	0
"palmitoyl-palmitoyl-glycerol (16:0/16:0) [2]*"	"palmitoyl-palmitoyl-glycerol (16:0/16:0) [2]*"	"Group"	"RYGB"	0.546983216689988	0.321041895033892	0.114156283531872	0.35860293866812	"CPLM"	1.908	15	15	0
"palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]*"	"palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]*"	"Group"	"RYGB"	0.508788780551564	0.299991943268401	0.115649396271973	0.359459073373045	"CPLM"	1.326	15	15	0
"nicotinamide riboside"	"nicotinamide riboside"	"Group"	"RYGB"	0.570713511580021	0.336379629401258	0.115528219248314	0.359459073373045	"CPLM"	1.99	15	15	0
"caprylate (8:0)"	"caprylate (8:0)"	"Group"	"RYGB"	-0.63319861375318	0.374255153160015	0.116448027345491	0.360988884771022	"CPLM"	1.461	15	15	0
"1-linoleoyl-GPC (18:2)"	"1-linoleoyl-GPC (18:2)"	"Group"	"RYGB"	-0.370099556572553	0.219693798013108	0.117870820070092	0.362778165627868	"CPLM"	1.01	15	15	0
"linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*"	"linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*"	"Group"	"RYGB"	0.378743985219051	0.225296122151592	0.118565020175492	0.362778165627868	"CPLM"	1.99	15	15	0
"sphingomyelin (d18:1/20:0, d16:1/22:0)*"	"sphingomyelin (d18:1/20:0, d16:1/22:0)*"	"Group"	"RYGB"	-0.326576158403852	0.194080219423628	0.118250651844297	0.362778165627868	"CPLM"	1.99	15	15	0
"tauroursodeoxycholate"	"tauroursodeoxycholate"	"Group"	"RYGB"	-1.10664622443491	0.657842491821038	0.118339539013777	0.362778165627868	"CPLM"	1.989	15	15	0
"1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*"	"1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*"	"Group"	"RYGB"	-0.326652922126912	0.196216491244957	0.12183311549139	0.366537499730438	"CPLM"	1.711	15	15	0
"1,2-dilinoleoyl-GPC (18:2/18:2)"	"1,2-dilinoleoyl-GPC (18:2/18:2)"	"Group"	"RYGB"	-0.307352297349154	0.184869135208663	0.122282884035706	0.366537499730438	"CPLM"	1.99	15	15	0
"1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)"	"1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)"	"Group"	"RYGB"	0.279734336010844	0.168073257280109	0.121913749426468	0.366537499730438	"CPLM"	1.99	15	15	0
"stearoyl-linoleoyl-glycerol (18:0/18:2) [1]*"	"stearoyl-linoleoyl-glycerol (18:0/18:2) [1]*"	"Group"	"RYGB"	-0.837343201153351	0.503233720476939	0.122001800218424	0.366537499730438	"CPLM"	1.99	15	15	0
"N,N,N-trimethyl-5-aminovalerate"	"N,N,N-trimethyl-5-aminovalerate"	"Group"	"RYGB"	0.854381850725857	0.519513568761659	0.125979010871369	0.37307835162416	"CPLM"	1.99	15	15	0
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)"	"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)"	"Group"	"RYGB"	-0.219817671216775	0.133412665570147	0.125339947843177	0.37307835162416	"CPLM"	1.99	15	15	0
"N-acetyl-aspartyl-glutamate (NAAG)"	"N-acetyl-aspartyl-glutamate (NAAG)"	"Group"	"RYGB"	0.786205105938003	0.479547135479862	0.127047691767852	0.373222396265659	"CPLM"	1.99	15	15	0
"phosphoethanolamine (PE)"	"phosphoethanolamine (PE)"	"Group"	"RYGB"	-0.236121231755858	0.144355513420889	0.12784424177059	0.374628151258098	"CPLM"	1.99	15	15	0
"dihomo-linoleoylcarnitine (C20:2)*"	"dihomo-linoleoylcarnitine (C20:2)*"	"Group"	"RYGB"	0.355941136494849	0.218143153922344	0.128692937850782	0.376179356794593	"CPLM"	1.99	15	15	0
"6-hydroxyindole sulfate"	"6-hydroxyindole sulfate"	"Group"	"RYGB"	0.357674434934432	0.219826497641078	0.129675573834733	0.37717981722794	"CPLM"	1.99	15	15	0
"1-arachidonoyl-GPC* (20:4)*"	"1-arachidonoyl-GPC* (20:4)*"	"Group"	"RYGB"	-0.413612604851917	0.255788613659709	0.131844186817489	0.381050136727681	"CPLM"	1.554	15	15	0
"glycocholate"	"glycocholate"	"Group"	"RYGB"	-1.22325246636532	0.756776115350445	0.131976617814002	0.381050136727681	"CPLM"	1.99	15	15	0
"stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*"	"stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*"	"Group"	"RYGB"	0.402113727289772	0.249507910499973	0.133016624467798	0.383113896388914	"CPLM"	1.662	15	15	0
"N-acetyl-isoputreanine*"	"N-acetyl-isoputreanine*"	"Group"	"RYGB"	0.580899300818275	0.362107082401767	0.134645101619348	0.383433504919384	"CPLM"	1.99	15	15	0
"glycerophosphoethanolamine"	"glycerophosphoethanolamine"	"Group"	"RYGB"	0.441618504297965	0.275623607475737	0.135080564126948	0.383433504919384	"CPLM"	1.99	15	15	0
"glutathione, oxidized (GSSG)"	"glutathione, oxidized (GSSG)"	"Group"	"RYGB"	0.99259917931378	0.620823828766634	0.135838210780822	0.383734801678198	"CPLM"	1.99	15	15	0
"benzoate"	"benzoate"	"Group"	"RYGB"	-0.581607814388208	0.363476197393805	0.135552433107746	0.383734801678198	"CPLM"	1.99	15	15	0
"1-oleoyl-GPC (18:1)"	"1-oleoyl-GPC (18:1)"	"Group"	"RYGB"	-0.346831612896814	0.219272077314368	0.13969364830637	0.391807423106914	"CPLM"	1.443	15	15	0
"quinolinate"	"quinolinate"	"Group"	"RYGB"	-0.624822719935057	0.394870318888903	0.139554900975715	0.391807423106914	"CPLM"	1.99	15	15	0
"creatinine"	"creatinine"	"Group"	"RYGB"	-0.208660169930654	0.132318976749971	0.140791074576616	0.393013947514818	"CPLM"	1.99	15	15	0
"1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*"	"1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*"	"Group"	"RYGB"	-0.183902166395059	0.117081261709014	0.142227786341096	0.395151727145781	"CPLM"	1.01	15	15	0
"arabonate/xylonate"	"arabonate/xylonate"	"Group"	"RYGB"	-0.271241874796149	0.172863563607815	0.14260205196384	0.395259334619772	"CPLM"	1.99	15	15	0
"18-methylnonadecanoate (i20:0)"	"18-methylnonadecanoate (i20:0)"	"Group"	"RYGB"	-0.636188659219803	0.40730995000734	0.14427899723025	0.396234613363442	"CPLM"	1.25	15	15	0
"1-arachidonylglycerol (20:4)"	"1-arachidonylglycerol (20:4)"	"Group"	"RYGB"	0.427599589789892	0.27521674362493	0.146225044841711	0.398734034313739	"CPLM"	1.99	15	15	0
"beta-hydroxyisovalerate"	"beta-hydroxyisovalerate"	"Group"	"RYGB"	-0.742415989276735	0.478928647152156	0.147063532364543	0.400094321305846	"CPLM"	1.99	15	15	0
"4-hydroxyglutamate"	"4-hydroxyglutamate"	"Group"	"RYGB"	0.515773505104467	0.336301974902042	0.151045344313062	0.403508251883981	"CPLM"	1.99	15	15	0
"linolenate (18:3n3 or 3n6)"	"linolenate (18:3n3 or 3n6)"	"Group"	"RYGB"	0.382782349289795	0.249664805783391	0.151161781186878	0.403508251883981	"CPLM"	1.99	15	15	0
"1-lignoceroyl-GPC (24:0)"	"1-lignoceroyl-GPC (24:0)"	"Group"	"RYGB"	-0.343362660485524	0.224096993466974	0.151401228635585	0.403508251883981	"CPLM"	1.01	15	15	0
"N-palmitoyl-sphingosine (d18:1/16:0)"	"N-palmitoyl-sphingosine (d18:1/16:0)"	"Group"	"RYGB"	0.291545317013013	0.189409035855871	0.149689625475552	0.403508251883981	"CPLM"	1.99	15	15	0
"bilirubin (E,E)*"	"bilirubin (E,E)*"	"Group"	"RYGB"	-0.84465806820037	0.548884672882949	0.149780257090896	0.403508251883981	"CPLM"	1.99	15	15	0
"gluconate"	"gluconate"	"Group"	"RYGB"	-0.281853651164785	0.182975400963665	0.149410208250615	0.403508251883981	"CPLM"	1.99	15	15	0
"creatine phosphate"	"creatine phosphate"	"Group"	"RYGB"	-0.621089961700106	0.406572759749766	0.152525782309151	0.405294479242082	"CPLM"	1.99	15	15	0
"tricosanoyl sphingomyelin (d18:1/23:0)*"	"tricosanoyl sphingomyelin (d18:1/23:0)*"	"Group"	"RYGB"	-0.473040818822837	0.30985052997759	0.152759549052194	0.405294479242082	"CPLM"	1.787	15	15	0
"azelate (nonanedioate; C9)"	"azelate (nonanedioate; C9)"	"Group"	"RYGB"	-0.332161048452851	0.218527168379606	0.154412719686845	0.406931059935355	"CPLM"	1.01	15	15	0
"inosine"	"inosine"	"Group"	"RYGB"	-0.472820000767873	0.312125890817032	0.155701437714532	0.409411369704728	"CPLM"	1.017	15	15	0
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*"	"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*"	"Group"	"RYGB"	-0.265159004295027	0.176183324630849	0.158178744054457	0.413879820158027	"CPLM"	1.01	15	15	0
"3-hydroxyisobutyrate"	"3-hydroxyisobutyrate"	"Group"	"RYGB"	0.362892430390703	0.242473763346476	0.16032244991756	0.414365656632071	"CPLM"	1.011	15	15	0
"dihomolinoleate (20:2n6)"	"dihomolinoleate (20:2n6)"	"Group"	"RYGB"	0.350824596313305	0.234820145395122	0.160994580289956	0.414365656632071	"CPLM"	1.99	15	15	0
"palmitoyl ethanolamide"	"palmitoyl ethanolamide"	"Group"	"RYGB"	-0.272315999434809	0.181410131301153	0.159174649241864	0.414365656632071	"CPLM"	1.99	15	15	0
"1-linoleoylglycerol (18:2)"	"1-linoleoylglycerol (18:2)"	"Group"	"RYGB"	-0.441637941939131	0.295688235311175	0.161103116075967	0.414365656632071	"CPLM"	1.144	15	15	0
"taurochenodeoxycholate"	"taurochenodeoxycholate"	"Group"	"RYGB"	-0.757420072500128	0.505138551748879	0.159603239211436	0.414365656632071	"CPLM"	1.835	15	15	0
"N-acetyl-3-methylhistidine*"	"N-acetyl-3-methylhistidine*"	"Group"	"RYGB"	-0.378871546852742	0.254698005854579	0.162673150838333	0.416299998453584	"CPLM"	1.616	15	15	0
"behenoyl dihydrosphingomyelin (d18:0/22:0)*"	"behenoyl dihydrosphingomyelin (d18:0/22:0)*"	"Group"	"RYGB"	0.590335469110061	0.39786987224772	0.163662169804624	0.416299998453584	"CPLM"	1.99	15	15	0
"gulonate*"	"gulonate*"	"Group"	"RYGB"	-0.376082756294824	0.254597749062567	0.165389133511271	0.416299998453584	"CPLM"	1.99	15	15	0
"N-alpha-acetylornithine"	"N-alpha-acetylornithine"	"Group"	"RYGB"	0.67275400591902	0.457694797632224	0.167321733819105	0.419372345614694	"CPLM"	1.99	15	15	0
"imidazole propionate"	"imidazole propionate"	"Group"	"RYGB"	0.772917309129177	0.529014954928737	0.169686824241578	0.422602703925114	"CPLM"	1.99	15	15	0
"xanthosine"	"xanthosine"	"Group"	"RYGB"	0.673498970103586	0.460352811379516	0.169160152205182	0.422602703925114	"CPLM"	1.99	15	15	0
"oxalate (ethanedioate)"	"oxalate (ethanedioate)"	"Group"	"RYGB"	-0.230596784654332	0.157750351124158	0.169489302020112	0.422602703925114	"CPLM"	1.99	15	15	0
"valine"	"valine"	"Group"	"RYGB"	-0.217019901547314	0.149855279300761	0.173182187236108	0.429491824345549	"CPLM"	1.01	15	15	0
"octanoylcarnitine (C8)"	"octanoylcarnitine (C8)"	"Group"	"RYGB"	-0.162138024026659	0.112678937386284	0.175737370281515	0.433093351865323	"CPLM"	1.99	15	15	0
"1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*"	"1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*"	"Group"	"RYGB"	-0.215665917819736	0.149805868332467	0.175543685945795	0.433093351865323	"CPLM"	1.99	15	15	0
"N-acetyl-1-methylhistidine*"	"N-acetyl-1-methylhistidine*"	"Group"	"RYGB"	0.300134629629193	0.209865326219046	0.17819775988542	0.435512367520799	"CPLM"	1.99	15	15	0
"docosapentaenoate (DPA; 22:5n3)"	"docosapentaenoate (DPA; 22:5n3)"	"Group"	"RYGB"	0.323905656404989	0.22728038061116	0.179605140127134	0.438043178198268	"CPLM"	1.99	15	15	0
"palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*"	"palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*"	"Group"	"RYGB"	0.310652363351951	0.218621742352776	0.1807901926218	0.439509276818394	"CPLM"	1.467	15	15	0
"3-hydroxy-3-methylglutarate"	"3-hydroxy-3-methylglutarate"	"Group"	"RYGB"	0.244485202496089	0.172125666690817	0.180952461168864	0.439509276818394	"CPLM"	1.99	15	15	0
"ornithine"	"ornithine"	"Group"	"RYGB"	0.256732745185955	0.181367496018293	0.182336839380439	0.441052970821679	"CPLM"	1.99	15	15	0
"1-methylhistidine"	"1-methylhistidine"	"Group"	"RYGB"	0.678685939338865	0.481144981599251	0.18376628751629	0.443599767815962	"CPLM"	1.99	15	15	0
"phenol glucuronide"	"phenol glucuronide"	"Group"	"RYGB"	0.746667882156135	0.530881715396116	0.184950525232118	0.445545437062238	"CPLM"	1.99	15	15	0
"creatine"	"creatine"	"Group"	"RYGB"	0.267785379616994	0.191715680132954	0.187775031422514	0.446877737268622	"CPLM"	1.99	15	15	0
"N-acetylleucine"	"N-acetylleucine"	"Group"	"RYGB"	-0.36971359856206	0.266744154784568	0.190955739686826	0.451461876654437	"CPLM"	1.038	15	15	0
"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)"	"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)"	"Group"	"RYGB"	-0.25576527827237	0.185481488035152	0.193077926383518	0.451461876654437	"CPLM"	1.99	15	15	0
"1-stearoyl-GPC (18:0)"	"1-stearoyl-GPC (18:0)"	"Group"	"RYGB"	-0.255698010701184	0.185191749734358	0.192539598560233	0.451461876654437	"CPLM"	1.99	15	15	0
"p-cresol sulfate"	"p-cresol sulfate"	"Group"	"RYGB"	0.300534545279274	0.21725267042113	0.191755479015922	0.451461876654437	"CPLM"	1.99	15	15	0
"ribonate (ribonolactone)"	"ribonate (ribonolactone)"	"Group"	"RYGB"	-0.275421964137696	0.200564926081264	0.194795033373701	0.452600688982681	"CPLM"	1.01	15	15	0
"pyridoxate"	"pyridoxate"	"Group"	"RYGB"	-0.329245325682695	0.239706708127343	0.194703331575178	0.452600688982681	"CPLM"	1.99	15	15	0
"1,2-dipalmitoyl-GPC (16:0/16:0)"	"1,2-dipalmitoyl-GPC (16:0/16:0)"	"Group"	"RYGB"	0.163404878435471	0.119258568730967	0.19572218835279	0.452968050843981	"CPLM"	1.99	15	15	0
"propionylcarnitine (C3)"	"propionylcarnitine (C3)"	"Group"	"RYGB"	0.283312471507303	0.207838247333921	0.197868703347366	0.455212033716735	"CPLM"	1.99	15	15	0
"gamma-glutamylleucine"	"gamma-glutamylleucine"	"Group"	"RYGB"	-0.195553209633675	0.143897740691071	0.19914911826274	0.455529439443705	"CPLM"	1.01	15	15	0
"myristate (14:0)"	"myristate (14:0)"	"Group"	"RYGB"	0.313736732285033	0.230684526820456	0.198825255991968	0.455529439443705	"CPLM"	1.99	15	15	0
"ribose"	"ribose"	"Group"	"RYGB"	0.464166521162119	0.343844865026866	0.20195224463566	0.4591184543398	"CPLM"	1.99	15	15	0
"adenine"	"adenine"	"Group"	"RYGB"	0.303684664823722	0.224741164345767	0.20153671475448	0.4591184543398	"CPLM"	1.99	15	15	0
"erythronate*"	"erythronate*"	"Group"	"RYGB"	0.472299133875993	0.351139712165733	0.20347951695269	0.460074608388232	"CPLM"	1.99	15	15	0
"N('1)-acetylspermidine"	"N('1)-acetylspermidine"	"Group"	"RYGB"	0.304670508092262	0.229507637652738	0.209046149389974	0.469059740916933	"CPLM"	1.451	15	15	0
"3-ureidopropionate"	"3-ureidopropionate"	"Group"	"RYGB"	0.285270973680478	0.215564893482323	0.210374543701826	0.469632680060723	"CPLM"	1.99	15	15	0
"oleoyl-linoleoyl-glycerol (18:1/18:2) [1]"	"oleoyl-linoleoyl-glycerol (18:1/18:2) [1]"	"Group"	"RYGB"	0.276922960555868	0.209712248790869	0.21130286659976	0.469650522367014	"CPLM"	1.99	15	15	0
"docosahexaenoate (DHA; 22:6n3)"	"docosahexaenoate (DHA; 22:6n3)"	"Group"	"RYGB"	0.251258864695237	0.190671265995278	0.212187823433074	0.470729295676387	"CPLM"	1.99	15	15	0
"N-acetylserine"	"N-acetylserine"	"Group"	"RYGB"	0.225747968148873	0.172034622667437	0.213990994449484	0.472062530826763	"CPLM"	1.99	15	15	0
"5-methylcytidine"	"5-methylcytidine"	"Group"	"RYGB"	-0.22270486070685	0.169476056975296	0.213385483019918	0.472062530826763	"CPLM"	1.99	15	15	0
"galactonate"	"galactonate"	"Group"	"RYGB"	0.624669231455299	0.481061134089844	0.218507582597103	0.477554605379197	"CPLM"	1.99	15	15	0
"maleoylcarnitine"	"maleoylcarnitine"	"Group"	"RYGB"	-0.262717657775782	0.202282161041854	0.218426238161979	0.477554605379197	"CPLM"	1.99	15	15	0
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*"	"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*"	"Group"	"RYGB"	-0.284675663620713	0.220968782060887	0.221925665467142	0.483231855675218	"CPLM"	1.01	15	15	0
"tauro-beta-muricholate"	"tauro-beta-muricholate"	"Group"	"RYGB"	-0.8567106729477	0.666077471551008	0.222635074697796	0.483882136520301	"CPLM"	1.895	15	15	0
"tartronate (hydroxymalonate)"	"tartronate (hydroxymalonate)"	"Group"	"RYGB"	-0.259243944798331	0.202446615824349	0.224548153732506	0.48714129852098	"CPLM"	1.01	15	15	0
"(S)-3-hydroxybutyrylcarnitine"	"(S)-3-hydroxybutyrylcarnitine"	"Group"	"RYGB"	0.195357370390052	0.153193208145798	0.226361984183888	0.490173561339376	"CPLM"	1.99	15	15	0
"oleoyl ethanolamide"	"oleoyl ethanolamide"	"Group"	"RYGB"	-0.35656619018812	0.280037651386641	0.227031815352629	0.490721978872289	"CPLM"	1.708	15	15	0
"alpha-hydroxyisovalerate"	"alpha-hydroxyisovalerate"	"Group"	"RYGB"	0.611461069181285	0.485274022616223	0.231610890053959	0.497675002802228	"CPLM"	1.99	15	15	0
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*"	"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*"	"Group"	"RYGB"	0.271841617993799	0.216110478284972	0.232360994517169	0.497675002802228	"CPLM"	1.99	15	15	0
"mead acid (20:3n9)"	"mead acid (20:3n9)"	"Group"	"RYGB"	-0.267716353643326	0.215021953274213	0.236873397789317	0.498824186357564	"CPLM"	1.99	15	15	0
"16-hydroxypalmitate"	"16-hydroxypalmitate"	"Group"	"RYGB"	0.330713934106422	0.265721736570097	0.237042943230211	0.498824186357564	"CPLM"	1.99	15	15	0
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*"	"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*"	"Group"	"RYGB"	0.296819711702498	0.238536537265863	0.237132041052832	0.498824186357564	"CPLM"	1.879	15	15	0
"palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*"	"palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*"	"Group"	"RYGB"	0.262770341391671	0.210884971325867	0.236529072601664	0.498824186357564	"CPLM"	1.625	15	15	0
"campesterol"	"campesterol"	"Group"	"RYGB"	-0.369458421631789	0.295528058500024	0.235070188561166	0.498824186357564	"CPLM"	1.846	15	15	0
"taurocholenate sulfate*"	"taurocholenate sulfate*"	"Group"	"RYGB"	-0.235926622249636	0.189106888012281	0.235981369822631	0.498824186357564	"CPLM"	1.99	15	15	0
"hexadecanedioate (C16)"	"hexadecanedioate (C16)"	"Group"	"RYGB"	0.180759374327643	0.145693831041368	0.238433296526372	0.500667421226499	"CPLM"	1.01	15	15	0
"hydroxyasparagine"	"hydroxyasparagine"	"Group"	"RYGB"	0.347318372398492	0.281818645739634	0.24139411130154	0.50253492343543	"CPLM"	1.99	15	15	0
"tryptophan"	"tryptophan"	"Group"	"RYGB"	-0.192894103211066	0.156688976392448	0.241882259412469	0.50253492343543	"CPLM"	1.01	15	15	0
"cystathionine"	"cystathionine"	"Group"	"RYGB"	0.511769822113313	0.415342052054454	0.241485343125149	0.50253492343543	"CPLM"	1.99	15	15	0
"margaroylcarnitine (C17)*"	"margaroylcarnitine (C17)*"	"Group"	"RYGB"	0.254174170202456	0.206179828133123	0.241264115642793	0.50253492343543	"CPLM"	1.99	15	15	0
"linoleate (18:2n6)"	"linoleate (18:2n6)"	"Group"	"RYGB"	0.284912175250409	0.232784385297622	0.244465782747933	0.503462748386477	"CPLM"	1.99	15	15	0
"stearoyl-linoleoyl-glycerol (18:0/18:2) [2]*"	"stearoyl-linoleoyl-glycerol (18:0/18:2) [2]*"	"Group"	"RYGB"	0.369792637618086	0.302074084109539	0.244375950332312	0.503462748386477	"CPLM"	1.427	15	15	0
"linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*"	"linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*"	"Group"	"RYGB"	0.294764127098794	0.240280787492071	0.243442745796769	0.503462748386477	"CPLM"	1.99	15	15	0
"phenylacetylglutamine"	"phenylacetylglutamine"	"Group"	"RYGB"	0.489511885965074	0.401668717039211	0.246376396446154	0.503873949676335	"CPLM"	1.99	15	15	0
"stearoylcarnitine (C18)"	"stearoylcarnitine (C18)"	"Group"	"RYGB"	0.231926706905872	0.190194857383641	0.246112711631167	0.503873949676335	"CPLM"	1.99	15	15	0
"N-acetylalanine"	"N-acetylalanine"	"Group"	"RYGB"	-0.180694743142623	0.149066603407754	0.248772367135533	0.504427631559321	"CPLM"	1.01	15	15	0
"leucine"	"leucine"	"Group"	"RYGB"	-0.148972799226605	0.122746161308071	0.24822288897716	0.504427631559321	"CPLM"	1.99	15	15	0
"taurocholate"	"taurocholate"	"Group"	"RYGB"	-0.736198306089148	0.606985477712016	0.248513645356948	0.504427631559321	"CPLM"	1.896	15	15	0
"N6,N6,N6-trimethyllysine"	"N6,N6,N6-trimethyllysine"	"Group"	"RYGB"	0.294517615722176	0.243821096623723	0.250343593547631	0.505840056945299	"CPLM"	1.99	15	15	0
"1-(1-enyl-oleoyl)-GPE (P-18:1)*"	"1-(1-enyl-oleoyl)-GPE (P-18:1)*"	"Group"	"RYGB"	0.587699611736201	0.487993272096359	0.251683015293583	0.505942989788125	"CPLM"	1.99	15	15	0
"gamma-glutamylthreonine"	"gamma-glutamylthreonine"	"Group"	"RYGB"	-0.242147092501112	0.201989515112331	0.253740136811825	0.506215015232806	"CPLM"	1.99	15	15	0
"aconitate [cis or trans]"	"aconitate [cis or trans]"	"Group"	"RYGB"	-0.227747870849556	0.190256114371333	0.254396679981172	0.506215015232806	"CPLM"	1.738	15	15	0
"oleoyl-linoleoyl-glycerol (18:1/18:2) [2]"	"oleoyl-linoleoyl-glycerol (18:1/18:2) [2]"	"Group"	"RYGB"	0.265152450653743	0.221358256468578	0.254102648921299	0.506215015232806	"CPLM"	1.99	15	15	0
"beta-sitosterol"	"beta-sitosterol"	"Group"	"RYGB"	-0.412495430439671	0.344141262304737	0.253810494823745	0.506215015232806	"CPLM"	1.99	15	15	0
"dimethylglycine"	"dimethylglycine"	"Group"	"RYGB"	0.293068204977921	0.2464845624123	0.257439109776751	0.510544227806418	"CPLM"	1.99	15	15	0
"hippurate"	"hippurate"	"Group"	"RYGB"	0.437679462772094	0.372645775902226	0.262968769304801	0.517157279200427	"CPLM"	1.99	15	15	0
"10-heptadecenoate (17:1n7)"	"10-heptadecenoate (17:1n7)"	"Group"	"RYGB"	0.273452071184092	0.234793341322957	0.266791973368618	0.522061369814339	"CPLM"	1.99	15	15	0
"N6,N6-dimethyllysine"	"N6,N6-dimethyllysine"	"Group"	"RYGB"	0.176296807568518	0.151814597551336	0.268113686556245	0.522910468151088	"CPLM"	1.01	15	15	0
"mevalonate"	"mevalonate"	"Group"	"RYGB"	0.314817617298396	0.27094403196044	0.267853828253013	0.522910468151088	"CPLM"	1.99	15	15	0
"gamma-glutamyl-epsilon-lysine"	"gamma-glutamyl-epsilon-lysine"	"Group"	"RYGB"	-0.17988498811489	0.156136677755799	0.271716263124744	0.529060756960245	"CPLM"	1.01	15	15	0
"2-oleoylglycerol (18:1)"	"2-oleoylglycerol (18:1)"	"Group"	"RYGB"	-0.487038844472719	0.424454540250292	0.273559683142212	0.530021886088035	"CPLM"	1.739	15	15	0
"palmitoyl-palmitoyl-glycerol (16:0/16:0) [1]*"	"palmitoyl-palmitoyl-glycerol (16:0/16:0) [1]*"	"Group"	"RYGB"	0.464545262165242	0.404509010509988	0.273174139921847	0.530021886088035	"CPLM"	1.99	15	15	0
"phenyllactate (PLA)"	"phenyllactate (PLA)"	"Group"	"RYGB"	0.361593561155657	0.315577490172193	0.274208112911897	0.530405840739269	"CPLM"	1.99	15	15	0
"5-dodecenoylcarnitine (C12:1)"	"5-dodecenoylcarnitine (C12:1)"	"Group"	"RYGB"	-0.159200388874453	0.1393014816045	0.275391004829894	0.531820661786254	"CPLM"	1.99	15	15	0
"myristoleate (14:1n5)"	"myristoleate (14:1n5)"	"Group"	"RYGB"	0.276283943987535	0.245208769821399	0.281884361726485	0.54081397086938	"CPLM"	1.99	15	15	0
"sarcosine"	"sarcosine"	"Group"	"RYGB"	0.241167672188396	0.215345435715796	0.284666352443078	0.543495888456962	"CPLM"	1.99	15	15	0
"ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*"	"ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*"	"Group"	"RYGB"	0.261556414664858	0.235158600152769	0.287814642512702	0.546805850441081	"CPLM"	1.876	15	15	0
"heme"	"heme"	"Group"	"RYGB"	0.371115394473708	0.333171631508177	0.287141608369509	0.546805850441081	"CPLM"	1.99	15	15	0
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*"	"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*"	"Group"	"RYGB"	-0.120929508232556	0.110083230455609	0.293526295957053	0.55157656220194	"CPLM"	1.01	15	15	0
"sphingomyelin (d18:2/18:1)*"	"sphingomyelin (d18:2/18:1)*"	"Group"	"RYGB"	-0.228598938869108	0.20775793693745	0.292778402580024	0.55157656220194	"CPLM"	1.99	15	15	0
"N-stearoyl-sphingosine (d18:1/18:0)*"	"N-stearoyl-sphingosine (d18:1/18:0)*"	"Group"	"RYGB"	0.318926884082469	0.29221749270061	0.29652471901371	0.556217741057328	"CPLM"	1.99	15	15	0
"tiglyl carnitine (C5)"	"tiglyl carnitine (C5)"	"Group"	"RYGB"	0.371654828203928	0.343789163963386	0.300920210780086	0.560006332225816	"CPLM"	1.99	15	15	0
